ciudad;conglomerado;panelm;vivienda;hogar;periodo;mes;id_vivienda;id_consumo;Fecha;Id_persona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;6;9;1;2021;11;2947;2021240150691;11/1/2021;202111240150691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;1;1;2021;5;2948;20212401501811;5/1/2021;202152401501811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;1;1;2021;8;2949;20212401501811;8/1/2021;202182401501811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;2;1;2021;5;2950;20212401501821;5/1/2021;202152401501821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;2;1;2021;8;2951;20212401501821;8/1/2021;202182401501821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;3;1;2021;5;2952;20212401501831;5/1/2021;202152401501831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;3;1;2021;8;2953;20212401501831;8/1/2021;202182401501831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;4;1;2021;5;2954;20212401501841;5/1/2021;202152401501841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;4;1;2021;8;2955;20212401501841;8/1/2021;202182401501841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;5;1;2021;5;2956;20212401501851;5/1/2021;202152401501851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;18;5;1;2021;8;2957;20212401501851;8/1/2021;202182401501851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
